iter	Passed	Remaining
0	156	156410
1	157	78727
2	158	52695
3	159	39812
4	162	32272
5	164	27324
6	170	24127
7	171	21323
8	173	19156
9	178	17715
10	180	16211
11	181	14933
12	182	13874
13	185	13030
14	185	12208
15	186	11479
16	187	10836
17	188	10299
18	190	9850
19	191	9399
20	193	8999
21	195	8680
22	196	8355
23	197	8035
24	198	7740
25	199	7492
26	201	7247
27	203	7073
28	205	6869
29	206	6668
30	207	6483
31	210	6361
32	211	6189
33	212	6033
34	213	5898
35	217	5826
36	218	5685
37	219	5547
38	221	5468
39	224	5377
40	225	5279
41	227	5199
42	228	5092
43	230	4998
44	231	4906
45	232	4824
46	233	4732
47	234	4644
48	235	4563
49	236	4492
50	238	4438
51	239	4368
52	240	4298
53	241	4229
54	242	4167
55	243	4113
56	245	4055
57	248	4040
58	252	4021
59	252	3962
60	253	3905
61	255	3864
62	258	3851
63	261	3820
64	262	3776
65	264	3748
66	265	3699
67	266	3654
68	268	3619
69	269	3583
70	270	3542
71	273	3529
72	277	3521
73	280	3504
74	281	3474
75	282	3435
76	284	3405
77	284	3368
78	287	3348
79	288	3320
80	289	3285
81	292	3277
82	293	3240
83	294	3207
84	295	3183
85	296	3154
86	298	3135
87	299	3103
88	300	3073
89	301	3046
90	304	3041
91	306	3023
92	307	3000
93	310	2989
94	311	2965
95	312	2938
96	312	2911
97	313	2887
98	316	2875
99	317	2854
100	317	2829
101	318	2806
102	320	2789
103	322	2781
104	323	2759
105	324	2737
106	326	2722
107	327	2707
108	329	2691
109	330	2670
110	332	2661
111	333	2647
112	334	2628
113	335	2608
114	336	2588
115	337	2571
116	337	2550
117	339	2540
118	341	2525
119	342	2512
120	343	2498
121	344	2479
122	345	2461
123	345	2443
124	346	2427
125	347	2412
126	349	2402
127	351	2394
128	352	2381
129	354	2369
130	356	2366
131	358	2355
132	358	2340
133	359	2325
134	362	2320
135	362	2306
136	364	2293
137	366	2286
138	367	2278
139	369	2268
140	370	2256
141	371	2242
142	372	2232
143	374	2228
144	376	2219
145	379	2218
146	380	2210
147	382	2202
148	384	2193
149	386	2189
150	388	2183
151	391	2182
152	392	2172
153	393	2160
154	394	2149
155	395	2137
156	397	2132
157	399	2126
158	400	2116
159	403	2118
160	404	2108
161	405	2097
162	406	2087
163	407	2079
164	409	2072
165	410	2061
166	411	2052
167	414	2051
168	416	2046
169	417	2040
170	420	2039
171	421	2030
172	423	2023
173	425	2018
174	427	2014
175	428	2004
176	428	1994
177	430	1988
178	432	1984
179	433	1974
180	434	1968
181	437	1967
182	439	1961
183	441	1956
184	441	1947
185	442	1937
186	444	1934
187	447	1933
188	449	1926
189	451	1923
190	452	1915
191	453	1909
192	454	1901
193	455	1893
194	460	1901
195	462	1895
196	463	1887
197	464	1882
198	465	1874
199	467	1869
200	468	1861
201	469	1853
202	473	1857
203	473	1849
204	474	1840
205	475	1833
206	476	1826
207	477	1818
208	478	1810
209	479	1802
210	480	1797
211	484	1802
212	486	1795
213	490	1802
214	492	1798
215	495	1797
216	497	1796
217	503	1806
218	504	1798
219	505	1791
220	508	1792
221	510	1787
222	512	1784
223	514	1782
224	516	1778
225	518	1776
226	520	1771
227	521	1764
228	522	1758
229	524	1756
230	525	1750
231	527	1747
232	529	1741
233	531	1739
234	533	1736
235	534	1730
236	536	1726
237	537	1721
238	540	1720
239	542	1719
240	543	1713
241	545	1709
242	546	1703
243	559	1732
244	560	1728
245	561	1721
246	562	1714
247	563	1708
248	564	1702
249	565	1695
250	567	1693
251	568	1688
252	570	1683
253	571	1679
254	575	1681
255	576	1675
256	577	1670
257	579	1666
258	580	1660
259	581	1655
260	586	1660
261	587	1655
262	589	1651
263	591	1648
264	592	1642
265	593	1638
266	596	1636
267	597	1632
268	598	1626
269	601	1625
270	604	1625
271	605	1619
272	606	1614
273	607	1609
274	609	1607
275	610	1601
276	612	1599
277	614	1595
278	615	1591
279	616	1585
280	617	1580
281	620	1579
282	621	1575
283	622	1570
284	624	1566
285	626	1563
286	627	1559
287	628	1554
288	630	1552
289	632	1547
290	633	1542
291	634	1538
292	635	1534
293	639	1535
294	640	1530
295	643	1529
296	651	1541
297	656	1546
298	658	1543
299	659	1537
300	660	1533
301	662	1531
302	663	1527
303	664	1522
304	668	1522
305	669	1519
306	670	1514
307	671	1509
308	672	1504
309	674	1501
310	675	1496
311	676	1490
312	676	1485
313	679	1484
314	681	1482
315	683	1479
316	689	1486
317	692	1484
318	693	1479
319	694	1476
320	695	1471
321	711	1498
322	714	1498
323	716	1495
324	718	1493
325	720	1489
326	721	1485
327	724	1485
328	726	1480
329	727	1476
330	728	1472
331	729	1468
332	732	1467
333	733	1462
334	735	1459
335	736	1455
336	737	1450
337	738	1447
338	741	1444
339	742	1441
340	743	1437
341	744	1432
342	745	1427
343	749	1428
344	750	1425
345	753	1423
346	754	1420
347	755	1416
348	757	1412
349	758	1408
350	759	1404
351	761	1402
352	762	1398
353	765	1397
354	766	1392
355	767	1388
356	768	1383
357	769	1379
358	770	1376
359	773	1374
360	774	1371
361	775	1367
362	777	1363
363	779	1361
364	780	1357
365	781	1353
366	783	1351
367	784	1346
368	785	1342
369	786	1339
370	790	1339
371	792	1338
372	794	1335
373	795	1331
374	797	1328
375	798	1325
376	801	1323
377	802	1320
378	803	1316
379	803	1311
380	805	1308
381	806	1304
382	807	1300
383	810	1300
384	813	1299
385	814	1295
386	815	1291
387	816	1287
388	818	1285
389	819	1281
390	820	1277
391	821	1274
392	826	1276
393	829	1275
394	830	1271
395	831	1268
396	832	1264
397	834	1261
398	835	1258
399	836	1255
400	837	1251
401	838	1247
402	839	1243
403	841	1241
404	843	1238
405	845	1236
406	848	1236
407	849	1233
408	850	1229
409	851	1226
410	853	1223
411	855	1220
412	856	1217
413	859	1216
414	861	1214
415	862	1210
416	863	1207
417	864	1203
418	866	1202
419	867	1198
420	869	1195
421	870	1192
422	871	1189
423	873	1186
424	874	1182
425	875	1179
426	876	1176
427	878	1174
428	880	1171
429	882	1169
430	883	1166
431	885	1163
432	886	1160
433	888	1158
434	890	1156
435	891	1153
436	894	1152
437	895	1149
438	896	1145
439	897	1142
440	898	1138
441	899	1135
442	900	1132
443	901	1129
444	903	1127
445	906	1126
446	907	1123
447	908	1119
448	909	1116
449	910	1112
450	913	1111
451	914	1108
452	915	1105
453	916	1102
454	918	1099
455	919	1096
456	920	1093
457	921	1090
458	922	1087
459	926	1087
460	928	1086
461	932	1085
462	932	1081
463	934	1079
464	935	1076
465	937	1074
466	938	1070
467	940	1068
468	941	1066
469	945	1066
470	946	1063
471	949	1062
472	951	1059
473	954	1059
474	956	1056
475	957	1053
476	958	1051
477	960	1048
478	965	1050
479	967	1047
480	968	1044
481	969	1042
482	971	1039
483	972	1037
484	973	1034
485	974	1031
486	978	1030
487	980	1028
488	982	1026
489	983	1023
490	985	1021
491	987	1019
492	988	1017
493	990	1014
494	991	1011
495	992	1008
496	993	1005
497	994	1002
498	996	1000
499	999	999
500	1003	999
501	1008	1000
502	1009	997
503	1011	995
504	1012	992
505	1015	991
506	1018	989
507	1020	988
508	1021	985
509	1022	982
510	1026	982
511	1028	980
512	1029	977
513	1032	976
514	1033	973
515	1035	970
516	1037	969
517	1039	967
518	1040	964
519	1041	961
520	1043	959
521	1044	956
522	1045	953
523	1046	950
524	1047	947
525	1048	944
526	1049	942
527	1050	938
528	1051	935
529	1053	933
530	1054	931
531	1055	928
532	1058	927
533	1059	924
534	1060	921
535	1062	919
536	1063	916
537	1065	914
538	1067	912
539	1068	909
540	1069	907
541	1070	904
542	1072	902
543	1073	899
544	1075	898
545	1077	896
546	1081	895
547	1083	893
548	1084	890
549	1086	888
550	1087	886
551	1088	883
552	1089	880
553	1090	877
554	1093	876
555	1094	873
556	1095	871
557	1097	869
558	1098	866
559	1100	864
560	1101	862
561	1106	861
562	1106	859
563	1108	856
564	1111	855
565	1112	852
566	1113	850
567	1115	848
568	1117	846
569	1118	844
570	1121	842
571	1125	842
572	1129	841
573	1130	839
574	1133	838
575	1134	835
576	1135	832
577	1152	841
578	1156	840
579	1157	838
580	1159	836
581	1163	835
582	1165	833
583	1167	831
584	1168	828
585	1169	826
586	1170	823
587	1172	821
588	1175	820
589	1176	817
590	1181	817
591	1183	815
592	1184	813
593	1185	810
594	1187	808
595	1188	805
596	1191	804
597	1193	802
598	1195	800
599	1197	798
600	1198	795
601	1199	793
